0,ATKMSG_M_000,!,2,-1,54,1620,0,"-1
0
0
-1
0"
32,ATKMSG_M_008,{tag:0} used Ice Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
33,ATKMSG_Y_008,The wild {tag:0} used Ice Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
34,ATKMSG_E_008,The opposing {tag:0} used Ice Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
35,ATKMSG_T_008,{tag:0}’s {tag:1} used Ice Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
36,ATKMSG_M_009,{tag:0} used Thunder Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
37,ATKMSG_Y_009,The wild {tag:0} used Thunder Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
38,ATKMSG_E_009,The opposing {tag:0} used Thunder Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
39,ATKMSG_T_009,{tag:0}’s {tag:1} used Thunder Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
40,ATKMSG_M_010,{tag:0} used Scratch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
41,ATKMSG_Y_010,The wild {tag:0} used Scratch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
42,ATKMSG_E_010,The opposing {tag:0} used Scratch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
43,ATKMSG_T_010,{tag:0}’s {tag:1} used Scratch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
44,ATKMSG_M_011,{tag:0} used Vise Grip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
45,ATKMSG_Y_011,The wild {tag:0} used Vise Grip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
46,ATKMSG_E_011,The opposing {tag:0} used Vise Grip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
47,ATKMSG_T_011,{tag:0}’s {tag:1} used Vise Grip!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
48,ATKMSG_M_012,{tag:0} used Guillotine!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
49,ATKMSG_Y_012,The wild {tag:0} used Guillotine!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
50,ATKMSG_E_012,The opposing {tag:0} used Guillotine!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
51,ATKMSG_T_012,{tag:0}’s {tag:1} used Guillotine!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
52,ATKMSG_M_013,{tag:0} used Razor Wind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
53,ATKMSG_Y_013,The wild {tag:0} used Razor Wind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
54,ATKMSG_E_013,The opposing {tag:0} used Razor Wind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
55,ATKMSG_T_013,{tag:0}’s {tag:1} used Razor Wind!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
56,ATKMSG_M_014,{tag:0} used Swords Dance!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
57,ATKMSG_Y_014,The wild {tag:0} used Swords Dance!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
58,ATKMSG_E_014,The opposing {tag:0} used Swords Dance!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
59,ATKMSG_T_014,{tag:0}’s {tag:1} used Swords Dance!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
60,ATKMSG_M_015,{tag:0} used Cut!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
61,ATKMSG_Y_015,The wild {tag:0} used Cut!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
62,ATKMSG_E_015,The opposing {tag:0} used Cut!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
63,ATKMSG_T_015,{tag:0}’s {tag:1} used Cut!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
64,ATKMSG_M_016,{tag:0} used Gust!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
65,ATKMSG_Y_016,The wild {tag:0} used Gust!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
66,ATKMSG_E_016,The opposing {tag:0} used Gust!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
67,ATKMSG_T_016,{tag:0}’s {tag:1} used Gust!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
68,ATKMSG_M_017,{tag:0} used Wing Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
69,ATKMSG_Y_017,The wild {tag:0} used Wing Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
70,ATKMSG_E_017,The opposing {tag:0} used Wing Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
71,ATKMSG_T_017,{tag:0}’s {tag:1} used Wing Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
72,ATKMSG_M_018,{tag:0} used Whirlwind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
73,ATKMSG_Y_018,The wild {tag:0} used Whirlwind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
74,ATKMSG_E_018,The opposing {tag:0} used Whirlwind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
75,ATKMSG_T_018,{tag:0}’s {tag:1} used Whirlwind!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
76,ATKMSG_M_019,{tag:0} used Fly!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
77,ATKMSG_Y_019,The wild {tag:0} used Fly!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
78,ATKMSG_E_019,The opposing {tag:0} used Fly!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
79,ATKMSG_T_019,{tag:0}’s {tag:1} used Fly!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
80,ATKMSG_M_020,{tag:0} used Bind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
81,ATKMSG_Y_020,The wild {tag:0} used Bind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
82,ATKMSG_E_020,The opposing {tag:0} used Bind!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
83,ATKMSG_T_020,{tag:0}’s {tag:1} used Bind!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
84,ATKMSG_M_021,{tag:0} used Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
85,ATKMSG_Y_021,The wild {tag:0} used Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
86,ATKMSG_E_021,The opposing {tag:0} used Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
87,ATKMSG_T_021,{tag:0}’s {tag:1} used Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
88,ATKMSG_M_022,{tag:0} used Vine Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
89,ATKMSG_Y_022,The wild {tag:0} used Vine Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
90,ATKMSG_E_022,The opposing {tag:0} used Vine Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
91,ATKMSG_T_022,{tag:0}’s {tag:1} used Vine Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
92,ATKMSG_M_023,{tag:0} used Stomp!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
93,ATKMSG_Y_023,The wild {tag:0} used Stomp!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
94,ATKMSG_E_023,The opposing {tag:0} used Stomp!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
95,ATKMSG_T_023,{tag:0}’s {tag:1} used Stomp!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
96,ATKMSG_M_024,{tag:0} used Double Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
97,ATKMSG_Y_024,The wild {tag:0} used Double Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
98,ATKMSG_E_024,The opposing {tag:0} used Double Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
99,ATKMSG_T_024,{tag:0}’s {tag:1} used Double Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
100,ATKMSG_M_025,{tag:0} used Mega Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
101,ATKMSG_Y_025,The wild {tag:0} used Mega Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
102,ATKMSG_E_025,The opposing {tag:0} used Mega Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
103,ATKMSG_T_025,{tag:0}’s {tag:1} used Mega Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
104,ATKMSG_M_026,{tag:0} used Jump Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
105,ATKMSG_Y_026,The wild {tag:0} used Jump Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
106,ATKMSG_E_026,The opposing {tag:0} used Jump Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
107,ATKMSG_T_026,{tag:0}’s {tag:1} used Jump Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
108,ATKMSG_M_027,{tag:0} used Rolling Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
109,ATKMSG_Y_027,The wild {tag:0} used Rolling Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
110,ATKMSG_E_027,The opposing {tag:0} used Rolling Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
111,ATKMSG_T_027,{tag:0}’s {tag:1} used Rolling Kick!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
112,ATKMSG_M_028,{tag:0} used Sand Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
113,ATKMSG_Y_028,The wild {tag:0} used Sand Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
114,ATKMSG_E_028,The opposing {tag:0} used Sand Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
115,ATKMSG_T_028,{tag:0}’s {tag:1} used Sand Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
116,ATKMSG_M_029,{tag:0} used Headbutt!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
117,ATKMSG_Y_029,The wild {tag:0} used Headbutt!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
118,ATKMSG_E_029,The opposing {tag:0} used Headbutt!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
119,ATKMSG_T_029,{tag:0}’s {tag:1} used Headbutt!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
120,ATKMSG_M_030,{tag:0} used Horn Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
121,ATKMSG_Y_030,The wild {tag:0} used Horn Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
122,ATKMSG_E_030,The opposing {tag:0} used Horn Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
123,ATKMSG_T_030,{tag:0}’s {tag:1} used Horn Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
124,ATKMSG_M_031,{tag:0} used Fury Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
125,ATKMSG_Y_031,The wild {tag:0} used Fury Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
126,ATKMSG_E_031,The opposing {tag:0} used Fury Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
127,ATKMSG_T_031,{tag:0}’s {tag:1} used Fury Attack!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
128,ATKMSG_M_032,{tag:0} used Horn Drill!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
129,ATKMSG_Y_032,The wild {tag:0} used Horn Drill!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
130,ATKMSG_E_032,The opposing {tag:0} used Horn Drill!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
131,ATKMSG_T_032,{tag:0}’s {tag:1} used Horn Drill!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
132,ATKMSG_M_033,{tag:0} used Tackle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
133,ATKMSG_Y_033,The wild {tag:0} used Tackle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
134,ATKMSG_E_033,The opposing {tag:0} used Tackle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
135,ATKMSG_T_033,{tag:0}’s {tag:1} used Tackle!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
136,ATKMSG_M_034,{tag:0} used Body Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
137,ATKMSG_Y_034,The wild {tag:0} used Body Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
138,ATKMSG_E_034,The opposing {tag:0} used Body Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
139,ATKMSG_T_034,{tag:0}’s {tag:1} used Body Slam!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
140,ATKMSG_M_035,{tag:0} used Wrap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
141,ATKMSG_Y_035,The wild {tag:0} used Wrap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
142,ATKMSG_E_035,The opposing {tag:0} used Wrap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
143,ATKMSG_T_035,{tag:0}’s {tag:1} used Wrap!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
144,ATKMSG_M_036,{tag:0} used Take Down!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
145,ATKMSG_Y_036,The wild {tag:0} used Take Down!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
146,ATKMSG_E_036,The opposing {tag:0} used Take Down!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
147,ATKMSG_T_036,{tag:0}’s {tag:1} used Take Down!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
148,ATKMSG_M_037,{tag:0} used Thrash!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
149,ATKMSG_Y_037,The wild {tag:0} used Thrash!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
150,ATKMSG_E_037,The opposing {tag:0} used Thrash!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
151,ATKMSG_T_037,{tag:0}’s {tag:1} used Thrash!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
152,ATKMSG_M_038,{tag:0} used Double-Edge!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
153,ATKMSG_Y_038,The wild {tag:0} used Double-Edge!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
154,ATKMSG_E_038,The opposing {tag:0} used Double-Edge!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
155,ATKMSG_T_038,{tag:0}’s {tag:1} used Double-Edge!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
156,ATKMSG_M_039,{tag:0} used Tail Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
157,ATKMSG_Y_039,The wild {tag:0} used Tail Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
158,ATKMSG_E_039,The opposing {tag:0} used Tail Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
159,ATKMSG_T_039,{tag:0}’s {tag:1} used Tail Whip!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
160,ATKMSG_M_040,{tag:0} used Poison Sting!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
161,ATKMSG_Y_040,The wild {tag:0} used Poison Sting!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
162,ATKMSG_E_040,The opposing {tag:0} used Poison Sting!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
163,ATKMSG_T_040,{tag:0}’s {tag:1} used Poison Sting!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
164,ATKMSG_M_041,{tag:0} used Twineedle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
165,ATKMSG_Y_041,The wild {tag:0} used Twineedle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
166,ATKMSG_E_041,The opposing {tag:0} used Twineedle!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
167,ATKMSG_T_041,{tag:0}’s {tag:1} used Twineedle!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
168,ATKMSG_M_042,{tag:0} used Pin Missile!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
169,ATKMSG_Y_042,The wild {tag:0} used Pin Missile!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
170,ATKMSG_E_042,The opposing {tag:0} used Pin Missile!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
171,ATKMSG_T_042,{tag:0}’s {tag:1} used Pin Missile!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
172,ATKMSG_M_043,{tag:0} used Leer!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
173,ATKMSG_Y_043,The wild {tag:0} used Leer!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
174,ATKMSG_E_043,The opposing {tag:0} used Leer!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
175,ATKMSG_T_043,{tag:0}’s {tag:1} used Leer!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
176,ATKMSG_M_044,{tag:0} used Bite!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
177,ATKMSG_Y_044,The wild {tag:0} used Bite!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
178,ATKMSG_E_044,The opposing {tag:0} used Bite!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
179,ATKMSG_T_044,{tag:0}’s {tag:1} used Bite!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
180,ATKMSG_M_045,{tag:0} used Growl!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
181,ATKMSG_Y_045,The wild {tag:0} used Growl!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
182,ATKMSG_E_045,The opposing {tag:0} used Growl!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
183,ATKMSG_T_045,{tag:0}’s {tag:1} used Growl!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
184,ATKMSG_M_046,{tag:0} used Roar!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
185,ATKMSG_Y_046,The wild {tag:0} used Roar!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
186,ATKMSG_E_046,The opposing {tag:0} used Roar!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
187,ATKMSG_T_046,{tag:0}’s {tag:1} used Roar!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
